"Name","Price","Bénéfice"
Share-KMTG,23.21€,9.59%
Share-GHIZ,28.0€,11.17%
Share-NHWA,29.18€,11.93%
Share-UEZB,24.87€,9.86%
Share-LPDM,39.35€,15.89%
Share-MTLR,16.49€,6.79%
Share-USSR,25.62€,10.29%
Share-GTQK,15.4€,6.39%
Share-FKJW,21.08€,8.75%
Share-QLMK,17.38€,7.11%
Share-WPLI,34.64€,13.97%
Share-LGWG,31.41€,12.64%
Share-ZSDE,15.11€,6.38%
Share-SKKC,24.87€,9.87%
Share-QQTU,33.19€,13.46%
Share-GIAJ,10.75€,4.39%
Share-CBNY,1.22€,0.79%
Share-SNKS,16.75€,6.64%
Share-XJMO,9.39€,4.0%
Share-LRBZ,32.9€,13.18%
Share-EMOV,8.89€,3.56%
Share-IFCP,29.23€,11.96%
Total bénéfice: 198.25€ Budget dépensé: 488.93€ Nombre d'action: 22
